idx,lat,long
2726,29.583652,-90.424155
2725,29.305675,-90.647405
2724,30.20161,-92.67786
2723,30.44999,-90.12
2722,30.420621,-91.363977
2721,28.70096556,-89.391925
2720,30.172042,-93.195964
2719,30.267378,-93.2896
2718,30.525314,-92.962742
2717,29.64633889,-91.10678333
2716,29.98111111,-93.27111111
2715,29.76916389,-90.01165556
2714,29.42312778,-90.36485
2713,29.78130278,-89.77763611
2712,30.42721667,-90.10883611
2711,29.99166667,-90.86333333
2708,29.85722222,-93.85527778
2707,30.283783,-91.315781
2706,30.203098,-93.244389
2705,29.84152,-90.06004
2704,29.91622222,-91.85375278
2703,29.53996111,-89.73319444
2702,29.79472222,-90.38694444
2701,29.37136111,-90.99236111
2700,29.47388889,-89.55277778
2697,29.55361111,-90.60380556
2696,29.18655278,-91.09697778
2695,29.56905,-89.80916389
2694,30.36793333,-90.12026111
2693,29.424347,-90.600997
2692,29.10741667,-91.05411111
2691,28.68569111,-90.16219611
2690,29.68856,-90.10002
2689,29.99111111,-91.19472222
2688,30.01708611,-91.15456667
2686,29.76840556,-89.7894
2685,29.775573,-89.844172
2684,30.559172,-90.926555
2683,30.625601,-92.37786
2682,29.76054444,-93.12613333
2681,29.1125,-90.2075
2680,30.52396,-90.13043
2679,29.47416667,-89.55194444
2678,29.6791,-91.1904
2677,30.05580556,-93.28709722
2676,30.202168,-90.920494
2675,30.244173,-93.315068
2674,30.07690556,-90.40536944
2673,29.6791,-91.1904
2672,30.997817,-91.79159
2671,29.470716,-90.558916
2670,30.245547,-93.235244
2669,29.59855,-90.39898056
2668,29.46977,-90.62916
2667,30.227727,-89.851541
2666,29.63564167,-90.46200278
2665,30.21731389,-89.82382778
2664,29.83294444,-91.99056944
2663,29.17963611,-89.25705278
2662,30.33357778,-90.40994444
2661,29.14934167,-90.47178333
2660,29.59875556,-90.66638056
2659,29.47369444,-91.20638889
2658,29.45111111,-89.40333333
2657,29.06717222,-90.32224444
2654,30.25972,-93.12111
2652,29.933,-90.1436
2651,30.0972,-90.4046
2650,29.77326111,-90.902675
2649,29.65416389,-91.25546389
2648,29.86369444,-93.44193611
2647,29.50963611,-92.047625
2646,30.279083,-91.251666
2645,29.566955,-90.745241
2644,28.21017806,-91.68684778
2643,28.3020575,-92.11810056
2642,28.61767861,-90.13768417
2641,28.14068556,-91.32345222
2640,29.40616111,-90.60781667
2638,30.00236389,-93.172175
2637,29.65075278,-90.53326389
2636,30.455876,-90.165207
2635,30.03190278,-93.42974722
2634,29.91333333,-90.35055556
2633,29.910075,-90.40978056
2632,29.39133056,-90.80131389
2630,29.83293611,-91.56703611
2629,29.68761111,-91.21536944
2628,29.999294,-90.391411
2627,29.819036,-93.004497
2626,30.226011,-92.064678
2625,30.560084,-91.047115
2624,30.37083333,-90.55888889
